data,milho_brl_sc,soja_paranagua_brl_sc,boi_cepea_brl_arroba,frango_congelado_brl_kg,arroz_brl_sc,cafe_arabica_brl_sc,acucar_brl_sc,suino_sp_brl_kg,trigo_pr_brl_t,soja_pr_brl_sc,ovos_bastos_brl_cx
2010-07-01,18.61,39.55,84.02,2.42,26.61,310.0,40.19,2.56,413.55,36.81,
2010-07-02,18.57,39.53,83.95,2.41,26.62,303.31,40.24,2.57,415.7,36.93,
2010-07-05,18.55,39.39,83.6,2.41,26.6,303.37,40.34,2.58,410.5,36.9,
2010-07-06,18.6,39.55,83.49,2.41,26.65,292.83,39.99,2.59,409.62,36.79,
2010-07-07,18.45,39.86,82.94,2.25,26.72,300.95,40.3,2.59,406.24,36.92,
2010-07-08,18.23,40.37,83.52,2.26,26.74,299.8,40.14,2.6,411.79,37.64,
2010-07-09,18.23,40.57,83.52,2.32,26.69,300.54,40.14,2.6,408.59,37.73,
2010-07-12,18.19,40.9,83.58,2.34,26.76,300.98,40.22,2.59,408.12,38.06,
2010-07-13,18.18,41.07,83.56,2.34,26.82,299.55,40.22,2.59,410.87,38.27,
2010-07-14,18.41,41.17,83.65,2.39,26.86,301.32,40.33,2.59,408.84,38.36,
2010-07-15,18.34,41.55,83.48,2.43,26.87,307.63,40.49,2.59,404.53,38.9,
2010-07-16,18.77,42.18,83.3,2.43,26.91,307.74,40.65,2.59,404.76,39.25,
2010-07-19,18.98,42.44,83.4,2.43,26.86,297.29,40.9,2.59,404.43,39.57,
2010-07-20,19.11,42.34,83.86,2.44,26.91,290.59,41.05,,401.31,39.65,
2010-07-21,19.11,42.51,84.15,2.44,26.97,291.05,41.11,,406.46,39.68,
2010-07-22,19.14,42.65,84.15,2.41,26.96,298.1,41.21,,397.69,39.97,
2010-07-23,19.27,42.43,84.95,2.41,27.15,305.92,41.13,,407.48,39.6,
2010-07-26,19.36,42.04,84.96,2.41,27.08,305.05,41.14,,405.07,39.39,
2010-07-27,19.43,42.01,85.2,2.37,27.31,300.59,41.55,,400.39,39.1,
2010-07-28,19.34,42.22,85.49,2.35,27.35,305.78,42.07,,403.15,39.41,
